id,created,modified,desc,measure,available_quantity,bonus,active,new_price,old_price,desc_en,desc_kr,desc_ru,desc_uz,weight,product_type,main
127,2024-03-16 03:38:41.835483+00,2025-07-27 03:58:40.087009+00,"",1,94,0,f,3500,3500,"","","","",1.3,6ac21a20-10c9-43f4-91ce-bcb28f633171,f
86,2024-03-06 15:51:16.097832+00,2025-06-23 06:19:10.940523+00,"",1,48,0,f,5000,5000,"","","","",0.5,3014540a-73b6-4814-b21e-bd0e45d0d5ce,f
81,2024-03-06 14:16:10.556892+00,2026-01-25 05:01:12.536599+00,"",1,1000,0,t,10900,12000,"","","","",0.5,c0d547e1-0c7b-4caf-9cf3-b16bfb7fae5b,t
52,2024-03-05 17:07:39.035721+00,2025-07-06 07:33:53.955183+00,"",3,8,0,f,3000,3000,"","","","",0.3,2332be68-f50c-4a14-88b3-de7d220a1f3c,f
121,2024-03-16 03:29:58.886036+00,2026-01-26 06:37:03.605328+00,"",1,100,0,t,3800,4500,"","","","",1.3,18562e67-bd1a-4b18-8632-25d6aa7c9d76,t
459,2025-03-29 01:26:21.824857+00,2025-10-18 09:29:55.006818+00,"",1,48,0,t,1500,3000,"","","","",1,32b5d744-825e-44f6-babb-7f662abee6ae,t
191,2024-03-23 16:31:44.490494+00,2026-01-28 11:26:07.838117+00,"",0,1000,0,t,900,1500,"","","","",0.3,3ca83b69-bd87-40f3-b7e7-b6eb21253f8f,t
145,2024-03-16 16:37:15.149881+00,2026-01-28 08:31:12.654833+00,"",1,100,0,t,2900,3200,"","","","",0.2,f8112ff8-57d6-4c5b-ae91-ce6cf54ffd6a,t
132,2024-03-16 03:57:10.082862+00,2026-01-26 06:47:01.428873+00,"",1,1000,0,t,3490,3900,"","","","",1.3,a7e738ed-f9b9-41dd-9f92-7e41b6df906b,t
90,2024-03-06 16:15:24.329873+00,2026-01-25 05:03:00.568934+00,"",1,239,0,t,6490,7000,"","","","",0.6,b349aaaa-9db8-42a9-930a-e975db93475a,t
175,2024-03-18 17:30:24.577556+00,2025-06-23 10:55:45.595652+00,"",1,98,0,f,4500,4500,"","","","",1,fbfb84f9-1c75-4240-98f6-e7d490ebaed2,f
117,2024-03-16 03:24:14.625891+00,2026-01-26 06:36:04.714845+00,"",1,99,0,t,2400,4000,"","","","",1.3,f77d9f14-9bfe-4b46-af4e-f743ec96e9af,t
672,2025-10-12 02:32:26.498624+00,2025-11-29 03:00:49.213102+00,"",1,50,0,f,4000,4000,"","","","",1,f548963d-bc3e-4388-8335-9d230478d3d7,t
119,2024-03-16 03:26:49.714317+00,2026-01-26 06:36:28.823505+00,"",1,86,0,t,2400,4000,"","","","",1.3,d07de91a-1ad8-466e-85ac-f9ae061fb60d,t
572,2025-09-08 11:33:10.418233+00,2025-09-08 11:33:10.418233+00,"",3,50,0,t,5000,5000,"","","","",0.5,248d918d-74e7-4351-8f89-7fee07d493d2,t
130,2024-03-16 03:51:31.320416+00,2026-01-24 08:12:09.410007+00,"",1,96,0,f,3500,3500,"","","","",1.3,6aa67fd9-1e19-43bc-bda2-d00437bd21ff,t
48,2024-03-05 15:31:28.378911+00,2026-01-25 04:46:07.291977+00,"",3,10000,0,t,2700,3500,"","","","",0.5,96c5e52f-8901-4e95-8d9e-97aeef9ff6ff,t
84,2024-03-06 15:39:30.201518+00,2025-10-19 09:26:58.367681+00,"",1,48,0,f,6500,6500,"","","","",0.3,7e37c988-0225-4957-9786-a5343f28a1dc,t
193,2024-03-23 16:39:29.395121+00,2026-01-28 11:30:47.559029+00,"",1,1000,0,t,1950,2500,"","","","",1,7e1a1db9-6a61-4dc3-a666-19a59434cbf9,t
565,2025-09-08 11:19:39.204755+00,2025-10-19 09:54:45.689165+00,"",3,50,0,t,6000,6000,"","","","",0.2,30cf069d-6a2e-4b0c-8910-043b44162885,t
573,2025-09-08 11:33:59.561487+00,2025-09-08 11:33:59.561487+00,"",3,50,0,t,8000,8000,"","","","",1,fc97a998-e9bc-4fda-8111-99e88257fb50,t
122,2024-03-16 03:31:10.771679+00,2026-01-26 06:37:46.510861+00,"",1,1000,0,t,3800,4500,"","","","",1.3,24038865-3160-485f-8a69-b69863cc49dc,t
142,2024-03-16 16:28:14.795721+00,2026-01-28 08:26:26.586231+00,"",0,1000,0,t,2900,3200,"","","","",0.2,b412642f-5537-4e20-8f35-b4c17c1a30b0,t
